vendor,vendor_category,category
henry_schein,Anesthetics,Anesthetics
henry_schein,Burs & Diamonds,Burs & Diamonds
henry_schein,CAD/CAM,CAD/CAM
henry_schein,Crown & Bridge,Restorative
henry_schein,Dental Equipment Parts and Accessories,Dental Equipment Parts & Accessories
henry_schein,Disposables,Disposables
henry_schein,"Education, Patient & Staff",Miscellaneous
henry_schein,Endodontics,Endodontics
henry_schein,Equipment & Technology,Equipment & Technology
henry_schein,Evacuation Products,Evacuation Products
henry_schein,Finishing & Polishing,Restorative
henry_schein,Gloves,Infection Control
henry_schein,Handpieces,Dental Equipment Parts & Accessories
henry_schein,Health & Beauty & OTC,Miscellaneous
henry_schein,Impression Materials & Accessories,Impression Materials & Accessories
henry_schein,Infection Control Products,Infection Control
henry_schein,Instruments,Instruments
henry_schein,Laboratory,Laboratory
henry_schein,Medical Diagnostic & Emergency,Miscellaneous
henry_schein,Miscellaneous,Miscellaneous
henry_schein,Office Management & Supplies,Office Supplies
henry_schein,Orthodontic,Orthodontics
henry_schein,Pharmaceuticals,Pharmaceuticals
henry_schein,Practice Marketing,Miscellaneous
henry_schein,Preventive,Preventive
henry_schein,Restorative & Cosmetic,Restorative
henry_schein,Small Equipment,Small Equipment
henry_schein,Surgical & Implant Products,Surgical Supplies
henry_schein,Uniforms & Work Wear,Miscellaneous
henry_schein,X-Ray And Digital Imaging,X-Ray & Digital Imaging
henry_schein,Hidden Products,Hidden Products
net_32,"Acrylics, reline & tray materials",Laboratory
net_32,Alloys & accessories,Restorative
net_32,Anesthetic products,Anesthetics
net_32,Articulating materials & accessories,Restorative
net_32,Burs & diamonds,Burs & Diamonds
net_32,CAD CAM products,CAD/CAM
net_32,"Cements, liners & adhesives",Restorative
net_32,Core materials,Restorative
net_32,Cosmetic dentistry products,Restorative
net_32,"Crowns, bands & shells",Restorative
net_32,Dental health education products,Miscellaneous
net_32,Disposables,Disposables
net_32,Emergency products,Miscellaneous
net_32,Endodontic products,Endodontics
net_32,Equipment,Equipment & Technology
net_32,Evacuation products,Evacuation Products
net_32,Finishing & polishing products,Restorative
net_32,Handpieces,Dental Equipment Parts & Accessories
net_32,Implant related products,Implant
net_32,Impression materials,Impression Materials & Accessories
net_32,Infection control - clinical products,Infection Control
net_32,Infection control - personal products,Infection Control
net_32,Instruments,Instruments
net_32,Laboratory products,Laboratory
net_32,"Loupes, magnifiers & headlamps",Miscellaneous
net_32,Matrix materials & wedges,Restorative
net_32,Medical syringes and needles,Disposables
net_32,Miscellaneous products,Miscellaneous
net_32,Mixing materials,Restorative
net_32,Office supplies & accessories,Office Supplies
net_32,Orthodontic products,Orthodontics
net_32,Patient comfort & protection products,Infection Control
net_32,Pharmaceutical products,Pharmaceuticals
